gene_id bundle_id       chr     left    right   FPKM    FPKM_conf_lo    FPKM_conf_hi    status
ENSG00000240361 33128   1       62947   63887   0       0       0       OK
ENSG00000177693 33129   1       69054   70108   0       0       0       OK
ENSG00000239906 33132   1       139789  140339  0       0       0       OK
ENSG00000237613 33127   1       34553   36081   0       0       0       OK
ENSG00000222623 33134   1       157783  157887  0       0       0       OK
ENSG00000241599 33135   1       160445  161525  0       0       0       OK
ENSG00000239368 33136   1       164404  173864  1.03177 0       3.06329 OK
ENSG00000228463 33137   1       227614  267253  0.735123        0       2.33583 OK
ENSG00000241670 33137   1       228318  228775  0.717266        0.0915026       1.34303 OK
ENSG00000238009 33130   1       89294   133566  0.317143        0       1.36735 OK
ENSG00000239945 33130   1       89550   91105   0       0       0       OK
ENSG00000233750 33130   1       131103  133923  0.0471832       0       0.205515        OK
ENSG00000241860 33133   1       141473  149707  0.207393        0       1.1182  NO
ENSG00000233653 33139   1       329425  332243  0       0       0       OK
ENSG00000236601 33139   1       453632  460480  0       0       0       OK
ENSG00000224813 33139   1       329783  453948  0       0       0       OK
ENSG00000235249 33139   1       367639  368634  0       0       0       OK
ENSG00000236812 33139   1       379129  379453  0       0       0       OK
ENSG00000236743 33139   1       459655  461954  0       0       0       OK
ENSG00000240876 33138   1       317810  328455  0.347514        0.0660397       0.628988        OK
ENSG00000237094 33138   1       320161  328580  1.64225 0       4.03146 OK
ENSG00000250575 33138   1       326095  328112  0.213828        0       0.512131        OK
ENSG00000253101 33126   1       11868   14409   0.0663785       0.0176102       0.115147        OK
